 1.000, 2.000, 3.000, 4.000, 5.000
 0.626, 0.546, 0.132, 0.000, 0.000
 0.573, 2.370, 0.149, 1.000, 1.000
 0.511, 1.102, 0.149, 1.000, 1.000
 0.770, 0.190, 0.948, 1.000, 1.000
 0.693, 0.900, 0.526, 1.000, 1.000
 0.587, 1.250, 0.292, 1.000, 1.000
 0.420, 0.378, 0.442, 0.000, 1.000
 0.581, 0.810, 1.053, 1.000, 1.000
 0.678, 0.142, 0.788, 0.000, 1.000
 0.854, 0.501, 0.141, 1.000, 1.000
 1.746, 0.371, 0.303, 0.000, 1.000
 1.382, 0.479, 0.485, 1.000, 1.000
 1.296, 0.427, 0.181, 1.000, 1.000
 0.757, 0.218, 0.933, 1.000, 1.000
 0.667, 1.826, 0.149, 1.000, 0.000
 1.042, 0.052, 1.325, 0.000, 1.000
 2.921, 0.924, 0.427, 0.000, 1.000
 1.333, 0.615, 1.006, 1.000, 1.000
 0.634, 1.374, 0.149, 1.000, 1.000
 1.043, 0.301, 0.635, 1.000, 1.000
 0.480, 1.258, 0.448, 1.000, 1.000
 0.583, 0.541, 0.149, 0.000, 0.000
 0.542, 0.405, 0.448, 1.000, 1.000
 0.563, 0.573, 0.267, 0.000, 1.000
 0.524, 0.392, 0.149, 1.000, 0.000
 1.713, 0.982, 0.526, 1.000, 1.000
 0.579, 0.037, 0.149, 1.000, 1.000
 0.490, 0.448, 0.502, 1.000, 1.000
 0.629, 0.575, 1.231, 1.000, 1.000
 0.832, 1.152, 0.316, 1.000, 1.000
 1.364, 0.965, 1.013, 0.000, 0.000
 0.592, 1.867, 0.158, 0.000, 0.000
 1.427, 0.518, 0.950, 0.000, 1.000
 0.453, 1.854, 0.149, 1.000, 1.000
 0.104, 1.115, 0.308, 1.000, 1.000
 0.996, 1.336, 0.548, 1.000, 0.000
 0.628, 0.930, 0.149, 0.000, 0.000
 0.501, 0.812, 0.381, 1.000, 1.000
 0.539, 0.363, 0.126, 1.000, 1.000
 0.618, 0.464, 1.224, 1.000, 1.000
 1.007, 1.507, 0.541, 1.000, 1.000
 0.466, 0.098, 0.442, 1.000, 1.000
 0.541, 0.511, 0.264, 1.000, 1.000
 0.769, 2.872, 0.188, 0.000, 0.000
 0.493, 0.741, 0.496, 1.000, 1.000
 0.654, 0.735, 1.056, 1.000, 1.000
 0.478, 0.045, 1.083, 1.000, 1.000
 0.688, 1.039, 0.676, 1.000, 0.000
 0.527, 1.609, 0.149, 0.000, 1.000
 0.466, 0.879, 0.445, 1.000, 1.000
 1.731, 0.934, 0.387, 0.000, 1.000
 0.550, 0.920, 0.367, 1.000, 1.000
 0.630, 0.745, 0.149, 0.000, 0.000
 0.520, 0.464, 0.375, 0.000, 1.000
 0.270, 0.933, 0.306, 1.000, 1.000
 2.152, 0.284, 0.149, 0.000, 1.000
 1.004, 0.029, 0.477, 1.000, 1.000
 1.767, 0.905, 0.843, 0.000, 1.000
 0.650, 0.515, 0.647, 1.000, 1.000
 0.454, 0.003, 0.664, 1.000, 1.000
 0.567, 2.995, 0.540, 1.000, 1.000
 1.636, 0.417, 0.539, 1.000, 1.000
 1.128, 0.742, 0.771, 1.000, 1.000
 1.761, 0.368, 0.828, 1.000, 1.000
 0.447, 0.660, 0.274, 1.000, 1.000
 1.536, 1.380, 0.377, 0.000, 0.000
 0.844, 0.062, 1.004, 1.000, 1.000
 0.627, 0.421, 0.440, 1.000, 1.000
 0.523, 1.526, 0.278, 0.000, 1.000
 0.743, 4.042, 0.320, 1.000, 1.000
 0.978, 0.147, 0.149, 0.000, 0.000
 0.510, 1.066, 0.587, 0.000, 1.000
 0.725, 2.519, 0.149, 1.000, 0.000
 0.621, 0.015, 0.149, 1.000, 1.000
 0.495, 1.325, 0.149, 0.000, 1.000
 1.653, 0.192, 0.104, 0.000, 0.000
 0.729, 0.328, 0.422, 1.000, 1.000
 0.830, 0.239, 0.353, 1.000, 1.000
 0.634, 1.345, 0.396, 1.000, 1.000
 0.641, 0.468, 0.149, 1.000, 1.000
 0.487, 0.967, 0.272, 1.000, 1.000
 0.630, 1.964, 0.410, 1.000, 1.000
 0.454, 1.006, 0.537, 1.000, 1.000
 0.576, 1.508, 0.149, 1.000, 1.000
 0.512, 2.300, 0.646, 1.000, 1.000
 2.126, 0.047, 0.519, 1.000, 1.000
 0.568, 0.719, 0.149, 1.000, 1.000
 0.525, 0.572, 0.346, 1.000, 1.000
 0.590, 0.023, 0.583, 1.000, 1.000
 1.342, 1.105, 0.415, 1.000, 1.000
 0.628, 0.427, 0.149, 1.000, 1.000
 0.516, 1.332, 0.149, 0.000, 0.000
 0.229, 0.416, 0.737, 1.000, 1.000
 0.574, 1.161, 0.624, 1.000, 1.000
 0.519, 0.989, 0.149, 1.000, 1.000
 0.906, 0.984, 0.882, 1.000, 1.000
 0.704, 1.056, 0.149, 1.000, 1.000
 0.653, 0.639, 0.149, 0.000, 0.000
 0.694, 0.226, 0.365, 1.000, 1.000
 0.621, 1.702, 0.518, 1.000, 1.000
 1.059, 0.359, 0.439, 1.000, 1.000
 0.726, 1.772, 0.374, 1.000, 1.000
 0.583, 0.157, 0.149, 1.000, 1.000
 0.459, 0.830, 0.479, 1.000, 1.000
 1.118, 0.100, 0.279, 1.000, 1.000
 0.680, 1.089, 0.149, 1.000, 1.000
 0.745, 0.603, 0.149, 1.000, 1.000
 0.959, 1.938, 0.280, 1.000, 1.000
 0.587, 0.994, 0.332, 1.000, 1.000
 1.462, 0.458, 0.782, 1.000, 1.000
 1.035, 0.616, 0.502, 1.000, 1.000
 0.493, 0.511, 0.096, 1.000, 1.000
 0.625, 0.605, 0.149, 1.000, 1.000
 0.587, 0.963, 1.041, 1.000, 1.000
 0.702, 0.805, 0.149, 1.000, 1.000
 0.533, 0.649, 0.149, 0.000, 0.000
 0.593, 1.096, 0.149, 1.000, 1.000
 1.418, 2.638, 0.772, 1.000, 1.000
 0.501, 0.844, 0.599, 1.000, 1.000
 0.626, 2.228, 0.518, 1.000, 1.000
 0.577, 2.028, 0.149, 1.000, 1.000
 0.591, 0.612, 0.353, 1.000, 1.000
 1.331, 0.212, 0.181, 1.000, 1.000
 0.696, 2.630, 0.507, 0.000, 1.000
 0.564, 0.061, 0.517, 0.000, 0.000
 0.938, 0.476, 1.085, 1.000, 1.000
 0.521, 0.139, 1.072, 0.000, 0.000
 0.640, 0.276, 0.531, 0.000, 0.000
 0.698, 0.564, 0.310, 1.000, 1.000
